timestamp,datetime,total_spots,occupied_spots,free_spots,occupancy_rate
1744657211,2025-04-14 22:00:11,12,11,1,0.92
1744657865,2025-04-14 22:11:05,12,11,1,0.92
1744658464,2025-04-14 22:21:04,12,11,1,0.92
1744659070,2025-04-14 22:31:10,12,10,2,0.83
1744659670,2025-04-14 22:41:10,12,12,0,1.00
1744660292,2025-04-14 22:51:32,12,11,1,0.92
1744660922,2025-04-14 23:02:02,12,10,2,0.83
1744661621,2025-04-14 23:13:41,12,11,1,0.92
1744662362,2025-04-14 23:26:02,12,11,1,0.92
1744662968,2025-04-14 23:36:08,12,10,2,0.83
1744663567,2025-04-14 23:46:07,12,11,1,0.92
1744664167,2025-04-14 23:56:07,12,11,1,0.92
1744664788,2025-04-15 00:06:28,12,10,2,0.83
1744665387,2025-04-15 00:16:27,12,11,1,0.92
1744665997,2025-04-15 00:26:37,12,10,2,0.83
1744666717,2025-04-15 00:38:37,12,12,0,1.00
1744667476,2025-04-15 00:51:16,12,11,1,0.92
1744668076,2025-04-15 01:01:16,12,10,2,0.83
1744668758,2025-04-15 01:12:38,12,10,2,0.83
1744669412,2025-04-15 01:23:32,12,11,1,0.92
1744670080,2025-04-15 01:34:40,12,11,1,0.92
1744670707,2025-04-15 01:45:07,12,10,2,0.83
1744671445,2025-04-15 01:57:25,12,11,1,0.92
1744672145,2025-04-15 02:09:05,12,11,1,0.92
1744673079,2025-04-15 02:24:39,12,11,1,0.92
1744673766,2025-04-15 02:36:06,12,10,2,0.83
1744674401,2025-04-15 02:46:41,12,10,2,0.83
1744675275,2025-04-15 03:01:15,12,11,1,0.92
1744675932,2025-04-15 03:12:12,12,11,1,0.92
1744676577,2025-04-15 03:22:57,12,11,1,0.92
1744677784,2025-04-15 03:43:04,12,9,3,0.75
1744678548,2025-04-15 03:55:48,12,11,1,0.92
1744679193,2025-04-15 04:06:33,12,11,1,0.92
1744679811,2025-04-15 04:16:51,12,11,1,0.92
1744680474,2025-04-15 04:27:54,12,11,1,0.92
1744681106,2025-04-15 04:38:26,12,11,1,0.92
1744681707,2025-04-15 04:48:27,12,11,1,0.92
1744682305,2025-04-15 04:58:25,12,11,1,0.92
1744682909,2025-04-15 05:08:29,12,11,1,0.92
1744683596,2025-04-15 05:19:56,12,11,1,0.92
1744684203,2025-04-15 05:30:03,12,11,1,0.92
1744693878,2025-04-15 08:11:18,12,10,2,0.83
1744694478,2025-04-15 08:21:18,12,10,2,0.83
1744695077,2025-04-15 08:31:17,12,10,2,0.83
1744695746,2025-04-15 08:42:26,12,10,2,0.83
1744696352,2025-04-15 08:52:32,12,9,3,0.75
